alloc_round1,alloc_round2,alloc_round3,expected_bo3_win
R0-P0-M0,R0-P0-M0,R1-P1-M0,0.937367971086235
R0-P0-M0,R0-P0-M0,R0-P1-M0,0.9373663894876155
R1-P0-M0,R1-P0-M0,R0-P0-M0,0.9333880595560793
R0-P0-M0,R1-P0-M0,R1-P0-M0,0.9333852137264107
R1-P0-M0,R0-P0-M0,R1-P0-M0,0.9333847516009574
R0-P0-M0,R2-P0-M0,R0-P0-M0,0.9333795556184461
R0-P0-M0,R1-P0-M0,R0-P0-M0,0.9333795271035714
R2-P0-M0,R0-P0-M0,R0-P0-M0,0.933379077892238
R1-P0-M0,R0-P0-M0,R0-P0-M0,0.9333790656384732
R0-P0-M0,R0-P0-M0,R2-P0-M0,0.9333762263665784
R0-P0-M0,R0-P0-M0,R1-P0-M0,0.9333762182014359
R0-P0-M0,R0-P0-M0,R0-P0-M0,0.9333705317554571
